#{"t_start": 1780234548.465207, "env_id": "HalfCheetah-v4"}
r,l,t
-12.960136,1000,3.382509
-11.660649,1000,6.769663
4.738238,1000,9.678523
14.997406,1000,12.569994
26.340037,1000,15.661654
62.320531,1000,18.380188
70.361944,1000,21.279484
65.085384,1000,24.052391
125.433136,1000,26.876292
132.09679,1000,29.796284
61.147056,1000,32.554028
120.869858,1000,35.365486
78.663985,1000,38.699143
201.920231,1000,41.516897
214.083851,1000,44.399668
212.744304,1000,47.176079
150.408787,1000,49.915631
154.904293,1000,52.780679
49.048401,1000,55.60769
89.04505,1000,58.455025
40.930224,1000,61.359229
79.666622,1000,63.556036
28.65098,1000,66.374164
82.880813,1000,69.568767
42.056867,1000,73.669011
59.377011,1000,80.555962
77.877309,1000,83.542603
75.059764,1000,86.307033
73.987995,1000,89.01955
59.90102,1000,92.07504
93.89928,1000,95.188714
136.797281,1000,98.034675
131.406198,1000,100.89903
186.878093,1000,104.233467
252.544741,1000,107.114319
182.050603,1000,110.111507
257.486366,1000,113.008027
269.058854,1000,115.763646
289.250222,1000,118.694948
332.931828,1000,121.602064
306.984356,1000,124.586034
298.387883,1000,127.623099
304.221703,1000,129.952913
335.885223,1000,133.180871
383.429719,1000,136.513216
378.796298,1000,139.285253
354.974013,1000,142.181026
372.846862,1000,144.937717
353.53813,1000,147.762342
384.8482,1000,150.765963
434.100957,1000,157.62647
396.344938,1000,160.548742
424.405029,1000,163.690778
411.64547,1000,167.019247
427.965434,1000,170.825849
476.77822,1000,174.147105
412.608435,1000,177.610213
425.389319,1000,180.8969
434.09607,1000,184.111221
500.151438,1000,187.244312
457.002056,1000,190.349329
428.575711,1000,193.516086
461.662368,1000,197.014528
449.115646,1000,199.222894
520.741287,1000,203.128139
466.214307,1000,206.140473
478.682132,1000,209.44468
482.760553,1000,212.719476
62.240985,1000,215.95527
543.248653,1000,219.288032
68.244543,1000,222.735282
510.441301,1000,226.121983
529.034215,1000,229.469972
178.387348,1000,232.82936
544.29006,1000,236.794134
529.136116,1000,244.129228
545.455602,1000,247.466266
522.331892,1000,250.748891
580.194708,1000,254.353876
138.13861,1000,257.392687
298.835588,1000,260.470211
612.293119,1000,263.579682
572.849127,1000,266.424167
657.541091,1000,269.780872
613.579038,1000,272.59955
654.262706,1000,274.767866
615.048277,1000,277.666601
666.173512,1000,280.930947
618.155569,1000,284.153757
415.588249,1000,287.669014
732.92457,1000,291.253308
102.136064,1000,294.765685
461.542283,1000,298.301662
673.885305,1000,301.793385
730.638445,1000,305.499547
727.67738,1000,309.181995
750.782006,1000,312.74106
784.499491,1000,315.823312
779.144536,1000,319.195997
809.415401,1000,322.525158
810.595262,1000,330.610219
725.618679,1000,334.12608
250.390888,1000,337.70921
801.670739,1000,340.973168
72.363165,1000,343.90054
798.512751,1000,346.757392
776.543599,1000,348.938744
800.983003,1000,351.954108
914.699264,1000,354.994814
383.116,1000,358.145754
900.773069,1000,361.414247
867.248326,1000,365.047284
883.792731,1000,368.114896
819.149836,1000,371.275191
911.089012,1000,374.620851
879.115096,1000,377.54677
875.559311,1000,380.678059
51.311844,1000,383.952764
877.708326,1000,386.879162
913.749054,1000,390.087997
935.668916,1000,393.684689
966.400346,1000,396.840261
982.841672,1000,400.112545
848.367511,1000,403.2043
965.215169,1000,406.220404
841.025558,1000,413.432196
1003.623184,1000,416.394186
1030.295772,1000,418.662851
1186.019911,1000,421.652149
1123.842211,1000,424.561942
1083.930843,1000,427.352057
948.711638,1000,430.865999
1056.655506,1000,434.288469
1047.215925,1000,437.52984
1184.878617,1000,440.89953
1137.048314,1000,443.883269
1195.829394,1000,447.28765
1006.828143,1000,450.426876
1210.143178,1000,453.400131
1184.340871,1000,456.605411
1249.634106,1000,459.736072
1145.075173,1000,463.243718
1274.630669,1000,466.316403
1283.358449,1000,469.413621
1274.061717,1000,472.678499
1285.246598,1000,475.916335
2.361566,1000,479.316902
1095.013178,1000,482.727913
1330.863831,1000,486.047437
1454.210564,1000,488.316015
1106.000696,1000,496.208862
1345.118985,1000,499.21991
747.978612,1000,502.380866
1331.625902,1000,505.642757
1574.377938,1000,508.922103
1412.844456,1000,512.175066
1401.322936,1000,515.302723
1295.771664,1000,518.587728
1640.319324,1000,522.101164
1704.738269,1000,525.785128
1543.890185,1000,529.726118
1571.660336,1000,533.009768
1615.079957,1000,536.333769
1513.110308,1000,539.538875
1697.490213,1000,542.824892
1683.680769,1000,546.233186
1728.858371,1000,549.756963
1773.285708,1000,553.500455
1858.358945,1000,556.370383
1868.41282,1000,559.340705
1832.730778,1000,562.221924
1669.244302,1000,565.234677
1877.250575,1000,568.269315
1857.562681,1000,571.485638
1386.425671,1000,575.270905
1871.86531,1000,582.964896
1836.911596,1000,586.12017
1882.491435,1000,589.241087
1717.773444,1000,592.350349
2090.541198,1000,595.982408
963.953447,1000,599.028897
2137.638996,1000,602.3464
1974.297535,1000,605.308589
2046.184507,1000,608.308441
2143.695311,1000,611.188825
2242.884709,1000,614.559163
2181.880112,1000,617.433244
2182.282926,1000,620.300027
2120.655912,1000,623.312115
2192.168131,1000,626.785276
1925.36684,1000,629.710325
2261.33088,1000,631.922755
2146.370032,1000,635.004483
1866.097801,1000,638.0418
2442.485096,1000,641.270096
2378.667607,1000,644.491433
2451.53656,1000,647.780267
2372.132523,1000,651.287275
2440.032472,1000,654.742435
2422.566414,1000,658.126343
2465.437084,1000,666.375752
1677.864655,1000,669.725062
1613.97436,1000,673.325364
2087.07877,1000,676.352225
2010.26974,1000,679.642131
2411.450483,1000,683.299552
2505.788052,1000,686.683775
2635.380761,1000,690.141521
2484.582607,1000,694.051166
2191.085525,1000,697.386067
1491.864358,1000,700.495355
2449.269905,1000,703.474298
2541.460456,1000,706.292977
2642.918873,1000,708.407738
2581.341693,1000,711.437482
2248.488431,1000,714.629037
1157.570734,1000,717.563076
2693.840803,1000,720.466754
2539.949488,1000,723.560756
2512.980218,1000,727.207371
2251.004263,1000,730.353399
2628.325801,1000,733.769073
2769.203532,1000,736.467015
2237.176269,1000,739.279564
2746.157561,1000,742.359039
2669.981726,1000,749.490128
2783.175842,1000,752.65599
2696.372478,1000,755.895058
2784.757708,1000,759.477514
2470.485906,1000,762.475678
2185.001195,1000,765.55146
2604.016665,1000,768.775603
2526.89125,1000,771.915237
2546.023585,1000,774.848938
2828.021389,1000,776.971122
2889.903015,1000,779.802765
2779.805466,1000,782.570084
2893.894467,1000,785.299614
2889.621503,1000,788.423754
2885.352342,1000,792.027316
2931.207464,1000,795.545465
2988.781297,1000,798.770858
3033.355684,1000,801.748208
2971.846514,1000,804.692045
2956.818673,1000,807.456186
3081.511623,1000,810.297516
2649.781763,1000,813.144822
3006.954899,1000,816.035248
3013.399298,1000,818.937305
3139.639995,1000,821.780122
2613.723184,1000,829.371642
3066.185212,1000,832.455463
1696.804115,1000,835.729156
3148.2282,1000,838.902481
3070.25087,1000,842.343532
3112.010789,1000,844.729471
3073.205088,1000,847.940089
3145.647718,1000,851.400331
3134.008761,1000,855.119031
3149.274088,1000,858.900166
3190.388146,1000,862.326337
2172.315389,1000,865.120288
3145.29112,1000,868.185654
3105.869823,1000,871.162759
3100.65814,1000,874.3943
3147.060853,1000,877.709397
3112.155014,1000,881.159419
767.017233,1000,884.746273
1388.86662,1000,888.718992
1542.498858,1000,892.222611
3235.137791,1000,895.686472
2813.41746,1000,899.149104
3228.722221,1000,902.613367
3189.95697,1000,905.976092
3187.606658,1000,909.21483
3256.400823,1000,916.999505
3162.588954,1000,920.121201
3116.960208,1000,923.090492
3178.596494,1000,926.30347
3219.361892,1000,929.947031
3211.946386,1000,933.188249
3357.556946,1000,936.865862
3370.84727,1000,940.221775
3275.556611,1000,943.088477
1369.720025,1000,945.857186
3354.181585,1000,948.643564
3326.763772,1000,951.563413
956.854117,1000,955.481
3361.082084,1000,958.673522
2110.984583,1000,961.521028
3249.577398,1000,964.328253
2774.136399,1000,967.191568
3240.099163,1000,970.066119
3216.56355,1000,972.93909
3413.664005,1000,976.117452
3358.593458,1000,978.834791
3371.639434,1000,981.625921
3456.082402,1000,984.572795
3477.750766,1000,987.189636
3416.48467,1000,990.08445
3411.611011,1000,996.911967
3281.221626,1000,999.949056
3523.180013,1000,1003.632118
3384.683423,1000,1007.572575
2978.691906,1000,1011.329019
3542.908023,1000,1014.873494
3445.927641,1000,1018.673706
3435.568669,1000,1022.750773
3530.902674,1000,1025.964819
3443.355833,1000,1029.164713
3429.332572,1000,1032.393295
1069.403501,1000,1035.597567
3520.42349,1000,1038.645169
3553.046017,1000,1041.751811
3582.585781,1000,1044.848883
2442.37554,1000,1048.298336
1500.622252,1000,1051.82603
3585.406506,1000,1055.543337
3587.294803,1000,1058.505186
3481.079829,1000,1060.791913
3402.770716,1000,1063.561695
3548.218073,1000,1066.292744
3472.278644,1000,1069.208199
3624.533662,1000,1072.250686
3539.638034,1000,1075.066382
3527.207126,1000,1082.07038
3652.62405,1000,1085.581734
3600.412638,1000,1088.706343
1528.35825,1000,1091.529102
3547.629725,1000,1094.60849
3636.370504,1000,1097.612502
3603.54316,1000,1100.457952
3602.133244,1000,1103.230232
3615.797251,1000,1106.168889
3247.546142,1000,1109.165148
3632.986759,1000,1112.377389
3634.804253,1000,1115.636278
3653.473085,1000,1119.391007
3579.672074,1000,1122.679497
3613.602363,1000,1125.840362
1011.643532,1000,1128.993549
3727.812223,1000,1131.383385
3777.386,1000,1134.528155
3728.01841,1000,1137.552438
684.09192,1000,1140.63937
1259.851812,1000,1143.656822
3682.680511,1000,1146.443116
3676.698104,1000,1149.658451
2302.092971,1000,1153.104534
3551.130893,1000,1156.418293
725.14935,1000,1163.198581
3673.118463,1000,1165.995347
3656.691564,1000,1169.026011
3654.025213,1000,1172.048662
422.426775,1000,1175.108626
3747.519746,1000,1178.262711
3695.43392,1000,1181.321743
3631.941244,1000,1184.907387
1657.540719,1000,1188.058569
1622.800318,1000,1191.163119
3725.870585,1000,1194.091095
2949.610029,1000,1197.27418
3836.146375,1000,1199.660782
962.500221,1000,1202.614137
3730.897338,1000,1205.437487
3763.456075,1000,1208.598658
3846.265432,1000,1211.843467
3745.462632,1000,1215.646402
3693.974219,1000,1219.669361
3626.678763,1000,1222.987188
3807.421122,1000,1226.202484
3747.467047,1000,1229.454539
3785.4305,1000,1232.539282
3804.977627,1000,1235.467029
3766.106362,1000,1238.641933
3701.576743,1000,1246.655653
3779.146047,1000,1250.53018
935.823757,1000,1254.022593
1342.267378,1000,1257.50861
3727.878924,1000,1260.917506
3814.519092,1000,1264.381938
3680.776332,1000,1267.882946
1931.492566,1000,1271.414871
1336.56109,1000,1274.30755
3750.43171,1000,1277.492421
453.4875,1000,1280.768968
3882.502778,1000,1284.768828
3776.869373,1000,1288.192861
3840.438478,1000,1291.618112
3783.47335,1000,1295.075893
3799.125709,1000,1298.482621
3733.52388,1000,1301.352364
3844.284796,1000,1304.129766
3834.0135,1000,1307.064174
3845.010706,1000,1309.993146
3818.208467,1000,1312.99385
3754.492754,1000,1316.429237
3830.048739,1000,1319.438766
3783.492988,1000,1322.387661
3833.291291,1000,1325.276879
3899.509172,1000,1332.509711
3878.932457,1000,1335.329529
-30.336287,1000,1338.327291
1075.621241,1000,1341.547911
3757.835781,1000,1344.717318
494.601201,1000,1347.724719
3793.02136,1000,1350.903856
3820.967471,1000,1354.251244
3866.945756,1000,1357.447667
3931.087455,1000,1360.440218
3915.286334,1000,1363.849528
3823.69192,1000,1367.204708
3900.269193,1000,1370.667358
3938.607454,1000,1374.168444
3947.675815,1000,1377.639594
3860.075657,1000,1381.968497
1373.063622,1000,1385.948005
3927.412306,1000,1389.36882
3870.682823,1000,1392.881169
3868.327191,1000,1396.376454
3860.919488,1000,1399.67448
2211.365473,1000,1402.979214
3913.93673,1000,1406.50244
1429.968175,1000,1410.172586
3901.483149,1000,1414.415918
2483.078219,1000,1422.490241
3842.588739,1000,1424.738243
3892.527188,1000,1427.565566
3964.517382,1000,1430.672595
3981.685633,1000,1433.61498
3279.616672,1000,1436.579183
483.632224,1000,1439.594026
3952.966314,1000,1442.737178
3868.479851,1000,1446.490637
1621.959526,1000,1449.698759
2579.05962,1000,1452.817402
3913.946308,1000,1456.462909
3913.305778,1000,1459.642287
3910.476137,1000,1462.754681
3937.108763,1000,1466.073933
4026.379963,1000,1469.35934
3958.849054,1000,1472.738139
1750.38014,1000,1475.991235
1406.70386,1000,1479.694075
2877.620313,1000,1483.044481
3994.31968,1000,1486.196298
3913.190572,1000,1489.424556
3064.917215,1000,1491.820997
3930.915703,1000,1495.248554
4025.373171,1000,1498.510576
4014.457113,1000,1506.000509
3015.439439,1000,1509.117266
3829.934737,1000,1512.532891
3960.878164,1000,1515.647262
4079.898866,1000,1518.530643
4052.226322,1000,1521.425466
3998.259648,1000,1524.296774
2713.607871,1000,1527.087212
4099.191289,1000,1529.857503
4022.718548,1000,1532.725074
4018.222091,1000,1535.501209
1101.49182,1000,1538.623976
4032.527727,1000,1541.982921
3671.243356,1000,1545.784343
4010.66892,1000,1549.227538
4045.5441,1000,1552.511196
4064.690081,1000,1555.591062
4062.627001,1000,1558.407097
4050.84925,1000,1561.244614
4032.222565,1000,1563.471165
4031.852621,1000,1566.314887
4067.683659,1000,1569.359475
4022.389411,1000,1572.844409
3215.445138,1000,1576.011589
3998.463418,1000,1579.6909
4021.978743,1000,1587.307305
4126.44111,1000,1590.643993
4034.781121,1000,1593.884993
4017.113221,1000,1596.866322
4017.375563,1000,1599.841208
4070.271529,1000,1603.26824
2981.597791,1000,1606.743793
4123.863326,1000,1610.815845
3979.210005,1000,1614.328074
3426.78759,1000,1617.870149
4103.328916,1000,1621.37815
4014.598732,1000,1624.716668
3936.942976,1000,1628.173886
4162.05746,1000,1631.385124
4191.449456,1000,1634.889925
1122.037375,1000,1637.284214
2966.633481,1000,1640.279299
3915.511289,1000,1643.991199
3998.430423,1000,1646.952541
4036.817243,1000,1650.018897
4143.654469,1000,1652.928889
4110.676672,1000,1655.898784
4027.777202,1000,1659.0259
4006.279636,1000,1662.149034
1060.302722,1000,1665.62141
4092.736562,1000,1672.903319
3998.506606,1000,1676.568983
2950.308034,1000,1680.050189
4132.866435,1000,1683.460586
3466.760064,1000,1686.771698
4081.956109,1000,1690.152562
4103.546407,1000,1693.697766
