#{"t_start": 1780233715.8396468, "env_id": "Swimmer-v4"}
r,l,t
-5.970209,1000,2.658698
5.842313,1000,5.281827
8.582349,1000,7.886003
19.866647,1000,10.412044
28.731656,1000,12.954386
37.774521,1000,15.535945
30.630086,1000,22.295122
41.581293,1000,24.981925
32.692316,1000,27.762137
46.426581,1000,30.481129
47.890669,1000,33.36055
47.378796,1000,36.075429
44.739211,1000,43.333545
49.616111,1000,46.001053
58.847029,1000,48.618282
44.823913,1000,51.4401
61.975651,1000,54.52859
69.270292,1000,57.1304
62.18171,1000,64.418591
97.903773,1000,67.383797
48.916416,1000,70.083757
57.010705,1000,73.051839
83.154365,1000,76.060121
41.262568,1000,78.807068
64.426481,1000,81.762251
48.303718,1000,89.36705
60.513026,1000,92.455178
68.22148,1000,95.024124
69.613125,1000,97.589599
63.849068,1000,100.136657
61.226434,1000,102.668707
103.604199,1000,109.262866
86.929008,1000,111.865374
112.558904,1000,114.336845
83.206699,1000,116.848739
118.763628,1000,119.349255
153.89578,1000,122.001716
142.169138,1000,129.074384
163.762,1000,131.740182
158.116843,1000,134.513441
180.265496,1000,137.229912
179.820162,1000,139.962397
189.927431,1000,141.763321
208.521579,1000,148.627878
212.922908,1000,151.151268
215.656151,1000,153.786893
223.385269,1000,156.454758
227.887405,1000,159.193242
234.209256,1000,161.988837
239.123915,1000,164.917502
255.100908,1000,171.765712
261.304633,1000,174.37744
262.060901,1000,177.110489
273.050216,1000,179.75616
271.777486,1000,182.316842
278.66063,1000,185.243543
267.969771,1000,191.740496
288.099444,1000,194.421468
282.449889,1000,197.079732
283.63657,1000,199.702651
299.240888,1000,202.220352
294.045704,1000,204.739308
294.489878,1000,211.659509
294.576051,1000,214.306411
301.094448,1000,216.685994
308.768792,1000,219.046179
304.260754,1000,221.531943
315.174221,1000,224.096384
310.919689,1000,230.866485
307.285599,1000,233.618899
308.055309,1000,236.338444
315.891968,1000,238.960952
309.309447,1000,241.553668
314.014697,1000,244.099718
314.543297,1000,246.967917
315.377197,1000,253.513731
317.031904,1000,255.984387
313.968712,1000,258.594159
309.623553,1000,261.163268
313.510893,1000,263.666584
314.663264,1000,266.258756
314.388236,1000,272.850334
320.553249,1000,275.465101
320.144806,1000,277.984137
323.744173,1000,280.661051
321.909269,1000,282.480078
320.32623,1000,285.355674
322.40007,1000,292.293473
322.976164,1000,294.862821
330.506953,1000,297.606391
326.1126,1000,300.09775
326.817282,1000,302.687188
330.649804,1000,305.589412
327.056215,1000,312.450739
326.234934,1000,315.090412
328.573876,1000,317.750553
330.398636,1000,320.308708
335.10202,1000,322.890033
332.484855,1000,325.541781
330.114575,1000,328.07012
332.711265,1000,334.56419
334.059806,1000,337.054765
338.521212,1000,339.512084
336.533129,1000,342.029636
336.233479,1000,344.533653
334.259505,1000,347.02209
337.27165,1000,353.71013
335.417217,1000,356.242223
336.435628,1000,358.7677
339.036002,1000,361.169287
341.382047,1000,363.618548
338.030746,1000,366.271799
338.442264,1000,372.217372
343.636692,1000,374.694471
342.875052,1000,377.15282
338.786628,1000,379.554999
341.196854,1000,382.30854
341.011943,1000,384.746736
344.190514,1000,391.157914
339.098938,1000,393.989712
340.288021,1000,396.867504
337.234244,1000,399.590887
341.968829,1000,402.448765
344.593385,1000,405.542791
339.195403,1000,408.513814
340.227312,1000,415.926613
344.336756,1000,419.042816
341.211365,1000,421.082075
339.422018,1000,423.979187
343.54598,1000,426.8542
344.692204,1000,429.669466
345.090135,1000,436.941082
339.752602,1000,439.92841
342.242674,1000,442.823502
342.773964,1000,445.768684
342.379779,1000,448.439827
343.171122,1000,451.380145
342.506841,1000,458.354407
343.867709,1000,461.058291
346.184997,1000,463.814584
344.382313,1000,466.674823
346.522263,1000,469.386134
345.892509,1000,471.853689
340.23856,1000,478.403369
343.835458,1000,481.081497
344.561937,1000,483.728506
344.081951,1000,486.61747
344.072752,1000,489.182933
346.243378,1000,491.72361
342.834901,1000,494.323798
340.654528,1000,501.082838
344.093489,1000,503.663196
342.103051,1000,506.227595
341.298987,1000,508.954696
346.757141,1000,511.970419
346.296779,1000,514.723567
343.86692,1000,521.580384
343.276945,1000,524.206473
342.082984,1000,526.794265
341.761872,1000,529.400864
346.579469,1000,531.878488
343.33837,1000,534.497304
343.70355,1000,541.054932
345.198058,1000,544.072673
347.125179,1000,546.921986
341.40088,1000,549.33105
345.48836,1000,551.837167
344.084499,1000,554.318265
344.02553,1000,560.905422
345.028779,1000,563.425544
349.858396,1000,565.105772
349.245098,1000,567.616827
346.389293,1000,570.053818
349.767978,1000,572.540478
347.725863,1000,575.137774
347.131219,1000,582.180557
348.126705,1000,584.712893
347.361805,1000,587.29586
350.629093,1000,589.86567
346.537631,1000,592.237223
350.575072,1000,594.669586
354.636976,1000,601.100006
353.718018,1000,603.88814
346.92145,1000,606.920429
351.397031,1000,609.953702
352.368248,1000,612.683659
353.023828,1000,615.194566
349.447341,1000,621.497552
351.277606,1000,624.136663
349.738713,1000,626.709147
350.309865,1000,629.265638
352.5088,1000,631.790782
352.078967,1000,634.461224
353.906092,1000,642.200433
346.965135,1000,644.962374
356.360605,1000,647.799686
353.329807,1000,650.668189
353.105969,1000,653.515782
351.508394,1000,656.251154
350.927887,1000,658.887059
355.695626,1000,665.667286
353.748883,1000,668.358478
352.686691,1000,670.638982
353.078198,1000,673.035146
351.565612,1000,676.065046
349.913168,1000,678.695796
353.315327,1000,685.547333
350.574702,1000,688.221931
354.226177,1000,690.777516
351.046292,1000,693.326203
351.72739,1000,695.981067
356.008982,1000,698.44051
348.930298,1000,704.818523
354.457762,1000,707.019244
351.024151,1000,709.472019
350.999943,1000,711.891704
354.540664,1000,714.389182
349.970243,1000,716.839458
352.958978,1000,723.37218
347.655592,1000,726.084752
351.249137,1000,728.474352
353.188498,1000,730.775931
352.647352,1000,733.270136
347.953257,1000,735.716148
350.886138,1000,738.149248
349.708538,1000,745.007908
351.505241,1000,747.459092
349.689539,1000,749.842652
352.409891,1000,752.305332
352.846215,1000,755.075282
353.714264,1000,757.770109
357.734561,1000,764.942407
352.498498,1000,767.978439
351.414991,1000,770.872402
354.916508,1000,774.309536
354.015175,1000,777.228923
350.320543,1000,780.056272
352.552213,1000,787.131972
354.129288,1000,789.961316
355.35084,1000,792.723981
352.939909,1000,795.466188
354.159875,1000,797.98219
350.560705,1000,800.808964
356.349134,1000,809.127164
353.337871,1000,811.994516
356.504352,1000,814.446712
355.334411,1000,816.878541
356.224333,1000,819.274445
354.720678,1000,821.68119
354.765041,1000,824.095122
